   2.0063604e+03	   2.0076786e+03	   2.0100325e+03	   2.0139448e+03	   2.0175812e+03	   2.0199773e+03	   2.0231656e+03	   2.0268019e+03	   2.0285097e+03	   2.0290162e+03	   2.0257825e+03	   2.0217857e+03	   2.0185877e+03	
   2.0021396e+03	   2.0038994e+03	   2.0067013e+03	   2.0107370e+03	   2.0139123e+03	   2.0164448e+03	   2.0205097e+03	   2.0234123e+03	   2.0250292e+03	   2.0252240e+03	   2.0215974e+03	   2.0180097e+03	   2.0146201e+03	
   2.0024610e+03	   2.0047273e+03	   2.0072403e+03	   2.0113929e+03	   2.0148279e+03	   2.0177727e+03	   2.0213117e+03	   2.0247240e+03	   2.0257143e+03	   2.0262597e+03	   2.0217370e+03	   2.0192273e+03	   2.0152727e+03	
   2.0127662e+03	   2.0152565e+03	   2.0183799e+03	   2.0219351e+03	   2.0246039e+03	   2.0281948e+03	   2.0306753e+03	   2.0350844e+03	   2.0352435e+03	   2.0362110e+03	   2.0317922e+03	   2.0296266e+03	   2.0253117e+03	
   2.0153571e+03	   2.0176266e+03	   2.0217110e+03	   2.0243377e+03	   2.0269578e+03	   2.0306753e+03	   2.0326266e+03	   2.0363442e+03	   2.0375000e+03	   2.0386071e+03	   2.0337208e+03	   2.0314513e+03	   2.0283636e+03	
   2.0186753e+03	   2.0204481e+03	   2.0235779e+03	   2.0270649e+03	   2.0294156e+03	   2.0329058e+03	   2.0354253e+03	   2.0388539e+03	   2.0394481e+03	   2.0406006e+03	   2.0363149e+03	   2.0343571e+03	   2.0308019e+03	
   2.0242240e+03	   2.0253539e+03	   2.0296526e+03	   2.0325130e+03	   2.0354838e+03	   2.0386039e+03	   2.0415942e+03	   2.0444058e+03	   2.0451656e+03	   2.0462565e+03	   2.0431396e+03	   2.0410682e+03	   2.0360714e+03	
   2.0246786e+03	   2.0268961e+03	   2.0302792e+03	   2.0335390e+03	   2.0370877e+03	   2.0388506e+03	   2.0426136e+03	   2.0451948e+03	   2.0460779e+03	   2.0476786e+03	   2.0445195e+03	   2.0423604e+03	   2.0363669e+03	
   2.0251753e+03	   2.0276429e+03	   2.0296039e+03	   2.0334545e+03	   2.0367240e+03	   2.0386786e+03	   2.0427662e+03	   2.0450682e+03	   2.0457078e+03	   2.0469643e+03	   2.0437500e+03	   2.0419286e+03	   2.0354773e+03	
   2.0239805e+03	   2.0265909e+03	   2.0285682e+03	   2.0326266e+03	   2.0356786e+03	   2.0375422e+03	   2.0412175e+03	   2.0439383e+03	   2.0447630e+03	   2.0452825e+03	   2.0425325e+03	   2.0408669e+03	   2.0339123e+03	
