   3.0000004e+02	   2.2831833e+04	   5.2611047e+06	   2.3042849e+02	   1.0231147e+02	   6.0234848e+02	
   3.0200032e+02	   2.2521788e+04	   5.2221208e+06	   2.3186973e+02	   1.0299650e+02	   6.0284848e+02	
   3.0399992e+02	   2.2211824e+04	   5.1822862e+06	   2.3331205e+02	   1.0368254e+02	   6.0334848e+02	
   3.0600016e+02	   2.1901756e+04	   5.1415994e+06	   2.3475740e+02	   1.0436875e+02	   6.0384848e+02	
   3.0799976e+02	   2.1591704e+04	   5.1000820e+06	   2.3620563e+02	   1.0506036e+02	   6.0434848e+02	
   3.1000020e+02	   2.1281626e+04	   5.0577371e+06	   2.3765746e+02	   1.0575928e+02	   6.0484848e+02	
   3.1200020e+02	   2.0971657e+04	   5.0145440e+06	   2.3911053e+02	   1.0645369e+02	   6.0534848e+02	
   3.1399992e+02	   2.0661511e+04	   4.9705185e+06	   2.4056898e+02	   1.0716045e+02	   6.0584848e+02	
   3.1599980e+02	   2.0351519e+04	   4.9256337e+06	   2.4202781e+02	   1.0785948e+02	   6.0634848e+02	
   3.1800008e+02	   2.0041302e+04	   4.8799295e+06	   2.4349364e+02	   1.0857170e+02	   6.0684848e+02	
   3.2000000e+02	   1.9731244e+04	   4.8333901e+06	   2.4496125e+02	   1.0928333e+02	   6.0734848e+02	
   3.2199980e+02	   1.9421105e+04	   4.7860147e+06	   2.4643370e+02	   1.1000127e+02	   6.0784848e+02	
   3.2400004e+02	   1.9111013e+04	   4.7378107e+06	   2.4790997e+02	   1.1072395e+02	   6.0834848e+02	
   3.2599988e+02	   1.8800988e+04	   4.6887765e+06	   2.4938990e+02	   1.1144924e+02	   6.0884848e+02	
   3.2799996e+02	   1.8490859e+04	   4.6389071e+06	   2.5087569e+02	   1.1217993e+02	   6.0934848e+02	
