x	y	z
0.045918367	0.037037037	313.1550397
0.137755102	0.037037037	313.1585339
0.229591837	0.037037037	313.1662768
0.321428571	0.037037037	313.1772772
0.413265306	0.037037037	313.1919033
0.505102041	0.037037037	313.2101549
0.596938776	0.037037037	313.2320322
0.68877551	0.037037037	313.2575349
0.780612245	0.037037037	313.2866633
0.87244898	0.037037037	313.3194172
0.964285714	0.037037037	313.3557967
1.056122449	0.037037037	313.3958534
1.147959184	0.037037037	313.4390608
1.239795918	0.037037037	313.4855525
1.331632653	0.037037037	313.535641
1.423469388	0.037037037	313.5890926
1.515306122	0.037037037	313.6459074
1.607142857	0.037037037	313.7060854
1.698979592	0.037037037	313.7696265
1.790816327	0.037037037	313.8362323
1.882653061	0.037037037	313.9063509
1.974489796	0.037037037	313.9793387
2.066326531	0.037037037	314.0551586
2.158163265	0.037037037	314.1337008
2.25	0.037037037	314.2149938
2.341836735	0.037037037	314.2990378
2.433673469	0.037037037	314.3858328
2.525510204	0.037037037	314.4753787
2.617346939	0.037037037	314.5676755
2.709183673	0.037037037	314.6627232
2.801020408	0.037037037	314.7603193
2.892857143	0.037037037	314.8604509
2.984693878	0.037037037	314.9635191
3.076530612	0.037037037	315.0686362
3.168367347	0.037037037	315.1758023
3.260204082	0.037037037	315.2850174
3.352040816	0.037037037	315.3962814
3.443877551	0.037037037	315.5095944
3.535714286	0.037037037	315.6249564
3.62755102	0.037037037	315.7423715
3.719387755	0.037037037	315.861709
3.81122449	0.037037037	315.9829265
3.903061224	0.037037037	316.106553
3.994897959	0.037037037	316.2312342
4.086734694	0.037037037	316.3575463
4.178571429	0.037037037	316.4855778
4.270408163	0.037037037	316.6150777
4.362244898	0.037037037	316.7460461
4.454081633	0.037037037	316.878483
4.545918367	0.037037037	317.0123883
4.637755102	0.037037037	317.1477622
4.729591837	0.037037037	317.2837965
4.821428571	0.037037037	317.4211415
4.913265306	0.037037037	317.5594058
5.005102041	0.037037037	317.6985727
5.096938776	0.037037037	317.8385652
5.18877551	0.037037037	317.9792512
5.280612245	0.037037037	318.1204851
5.37244898	0.037037037	318.2620972
5.464285714	0.037037037	318.4040473
5.556122449	0.037037037	318.5461786
5.647959184	0.037037037	318.6883417
5.739795918	0.037037037	318.8303876
5.831632653	0.037037037	318.9721433
5.923469388	0.037037037	319.1134358
6.015306122	0.037037037	319.2541157
6.107142857	0.037037037	319.3939595
6.198979592	0.037037037	319.5328195
6.290816327	0.037037037	319.6704574
6.382653061	0.037037037	319.8067687
6.474489796	0.037037037	319.9415022
6.566326531	0.037037037	320.0743836
6.658163265	0.037037037	320.2051521
6.75	0.037037037	320.3337497
6.841836735	0.037037037	320.4599384
6.933673469	0.037037037	320.5833567
7.025510204	0.037037037	320.7038132
7.117346939	0.037037037	320.8210174
7.209183673	0.037037037	320.9348162
7.301020408	0.037037037	321.0453527
7.392857143	0.037037037	321.1519333
7.484693878	0.037037037	321.2555154
7.576530612	0.037037037	321.354659
7.668367347	0.037037037	321.4493643
7.760204082	0.037037037	321.5398217
7.852040816	0.037037037	321.626442
7.943877551	0.037037037	321.7075607
8.035714286	0.037037037	321.7828351
8.12755102	0.037037037	321.8534916
8.219387755	0.037037037	321.9170388
8.31122449	0.037037037	321.9741429
8.403061224	0.037037037	322.025023
8.494897959	0.037037037	322.0691359
8.586734694	0.037037037	322.1057374
8.678571429	0.037037037	322.1350227
8.770408163	0.037037037	322.1569294
8.862244898	0.037037037	322.1714575
8.954081633	0.037037037	322.178577
9.045918367	0.037037037	322.1784654
9.137755102	0.037037037	322.1711789
9.229591837	0.037037037	322.15661
9.321428571	0.037037037	322.1347273
9.413265306	0.037037037	322.1055819
9.505102041	0.037037037	322.0689107
9.596938776	0.037037037	322.0243159
9.68877551	0.037037037	321.9747281
9.780612245	0.037037037	321.9174035
9.87244898	0.037037037	321.8532493
9.964285714	0.037037037	321.7836624
10.05612245	0.037037037	321.7086967
10.14795918	0.037037037	321.6279567
10.23979592	0.037037037	321.5425328
10.33163265	0.037037037	321.4514044
10.42346939	0.037037037	321.3561874
10.51530612	0.037037037	321.2568819
10.60714286	0.037037037	321.1535617
10.69897959	0.037037037	321.0464599
10.79081633	0.037037037	320.9357803
10.88265306	0.037037037	320.8221574
10.9744898	0.037037037	320.705591
11.06632653	0.037037037	320.5860812
11.15816327	0.037037037	320.4636279
11.25	0.037037037	320.3382313
11.34183673	0.037037037	320.2099157
11.43367347	0.037037037	320.0790486
11.5255102	0.037037037	319.9456899
11.61734694	0.037037037	319.8098396
11.70918367	0.037037037	319.6739397
11.80102041	0.037037037	319.5363477
11.89285714	0.037037037	319.3977032
11.98469388	0.037037037	319.2580326
12.07653061	0.037037037	319.1173361
12.16836735	0.037037037	318.9756135
12.26020408	0.037037037	318.832865
12.35204082	0.037037037	318.6896561
12.44387755	0.037037037	318.5469871
12.53571429	0.037037037	318.4048525
12.62755102	0.037037037	318.2632522
12.71938776	0.037037037	318.1221863
12.81122449	0.037037037	317.9816549
12.90306122	0.037037037	317.8416578
12.99489796	0.037037037	317.7021951
13.08673469	0.037037037	317.5632668
13.17857143	0.037037037	317.4249617
13.27040816	0.037037037	317.2882266
13.3622449	0.037037037	317.1526051
13.45408163	0.037037037	317.0181276
13.54591837	0.037037037	316.884808
13.6377551	0.037037037	316.7526461
13.72959184	0.037037037	316.621642
13.82142857	0.037037037	316.4914734
13.91326531	0.037037037	316.362833
14.00510204	0.037037037	316.2361052
14.09693878	0.037037037	316.11129
14.18877551	0.037037037	315.9883872
14.28061224	0.037037037	315.8673971
