% surf1x	surf1y	T (K)
-4.043367347	-4.791666667	300.0080279
-3.966836735	-4.791666667	300.0085079
-3.890306122	-4.791666667	300.0090247
-3.81377551	-4.791666667	300.0095783
-3.737244898	-4.791666667	300.0101686
-3.660714286	-4.791666667	300.0107956
-3.584183673	-4.791666667	300.0116332
-3.507653061	-4.791666667	300.0114848
-3.431122449	-4.791666667	300.0115218
-3.354591837	-4.791666667	300.0119784
-3.278061224	-4.791666667	300.0128003
-3.201530612	-4.791666667	300.0136965
-3.125	-4.791666667	300.0146672
-3.048469388	-4.791666667	300.0157123
-2.971938776	-4.791666667	300.0168319
-2.895408163	-4.791666667	300.0180259
-2.818877551	-4.791666667	300.0192943
-2.742346939	-4.791666667	300.0206372
-2.665816327	-4.791666667	300.0220545
-2.589285714	-4.791666667	300.0235462
-2.512755102	-4.791666667	300.0251124
-2.43622449	-4.791666667	300.026753
-2.359693878	-4.791666667	300.028468
-2.283163265	-4.791666667	300.0302574
-2.206632653	-4.791666667	300.0321213
-2.130102041	-4.791666667	300.0340597
-2.053571429	-4.791666667	300.0361755
-1.977040816	-4.791666667	300.0368953
-1.900510204	-4.791666667	300.0378233
-1.823979592	-4.791666667	300.0392478
-1.74744898	-4.791666667	300.0410953
-1.670918367	-4.791666667	300.0428865
-1.594387755	-4.791666667	300.0446214
-1.517857143	-4.791666667	300.0462999
-1.441326531	-4.791666667	300.0479221
-1.364795918	-4.791666667	300.049488
-1.288265306	-4.791666667	300.0509975
-1.211734694	-4.791666667	300.0524507
-1.135204082	-4.791666667	300.0538476
-1.058673469	-4.791666667	300.0551882
-0.982142857	-4.791666667	300.0564724
-0.905612245	-4.791666667	300.0577003
-0.829081633	-4.791666667	300.0588718
-0.75255102	-4.791666667	300.0599871
-0.676020408	-4.791666667	300.061046
-0.599489796	-4.791666667	300.0620485
-0.522959184	-4.791666667	300.0644153
-0.446428571	-4.791666667	300.066489
-0.369897959	-4.791666667	300.0677732
-0.293367347	-4.791666667	300.0691333
-0.216836735	-4.791666667	300.070297
-0.140306122	-4.791666667	300.0712642
-0.06377551	-4.791666667	300.0720349
0.012755102	-4.791666667	300.0726092
0.089285714	-4.791666667	300.0729869
0.165816327	-4.791666667	300.0731683
0.242346939	-4.791666667	300.0731531
0.318877551	-4.791666667	300.0729415
0.395408163	-4.791666667	300.0725334
0.471938776	-4.791666667	300.0719288
0.548469388	-4.791666667	300.0711278
0.625	-4.791666667	300.0701303
0.701530612	-4.791666667	300.0689363
0.778061224	-4.791666667	300.0675458
0.854591837	-4.791666667	300.0659589
0.931122449	-4.791666667	300.0649918
1.007653061	-4.791666667	300.0650481
1.084183673	-4.791666667	300.0655124
1.160714286	-4.791666667	300.0640671
1.237244898	-4.791666667	300.0627565
1.31377551	-4.791666667	300.0615896
1.390306122	-4.791666667	300.0605665
1.466836735	-4.791666667	300.0596871
1.543367347	-4.791666667	300.0589514
1.619897959	-4.791666667	300.0583595
1.696428571	-4.791666667	300.0579114
1.772959184	-4.791666667	300.057607
1.849489796	-4.791666667	300.0574463
1.926020408	-4.791666667	300.0574293
2.00255102	-4.791666667	300.0575561
2.079081633	-4.791666667	300.0578267
2.155612245	-4.791666667	300.058241
2.232142857	-4.791666667	300.058799
2.308673469	-4.791666667	300.0595008
2.385204082	-4.791666667	300.0600304
2.461734694	-4.791666667	300.0599824
2.538265306	-4.791666667	300.0605858
2.614795918	-4.791666667	300.0618407
2.691326531	-4.791666667	300.0639508
2.767857143	-4.791666667	300.0662723
2.844387755	-4.791666667	300.0687598
2.920918367	-4.791666667	300.0714135
2.99744898	-4.791666667	300.0742331
3.073979592	-4.791666667	300.0772188
3.150510204	-4.791666667	300.0803706
3.227040816	-4.791666667	300.0836884
3.303571429	-4.791666667	300.0871722
3.380102041	-4.791666667	300.0908221
3.456632653	-4.791666667	300.094638
3.533163265	-4.791666667	300.09862
3.609693878	-4.791666667	300.102768
3.68622449	-4.791666667	300.1070821
3.762755102	-4.791666667	300.1115622
3.839285714	-4.791666667	300.1162084
3.915816327	-4.791666667	300.1220186
3.992346939	-4.791666667	300.1238891
4.068877551	-4.791666667	300.1264003
4.145408163	-4.791666667	300.1288914
4.221938776	-4.791666667	300.1355596
4.298469388	-4.791666667	300.1422795
4.375	-4.791666667	300.1489534
4.451530612	-4.791666667	300.1555813
4.528061224	-4.791666667	300.1621632
4.604591837	-4.791666667	300.1686991
4.681122449	-4.791666667	300.175189
4.757653061	-4.791666667	300.1816328
4.834183673	-4.791666667	300.1880307
4.910714286	-4.791666667	300.1943825
4.987244898	-4.791666667	300.2006883
5.06377551	-4.791666667	300.2069482
5.140306122	-4.791666667	300.213162
5.216836735	-4.791666667	300.2193298
5.293367347	-4.791666667	300.2254515
5.369897959	-4.791666667	300.2315273
5.446428571	-4.791666667	300.23617
5.522959184	-4.791666667	300.2376959
5.599489796	-4.791666667	300.2361855
5.676020408	-4.791666667	300.2345194
5.75255102	-4.791666667	300.2338469
5.829081633	-4.791666667	300.2328931
5.905612245	-4.791666667	300.231658
5.982142857	-4.791666667	300.2301417
6.058673469	-4.791666667	300.2283441
6.135204082	-4.791666667	300.2262653
6.211734694	-4.791666667	300.2239052
6.288265306	-4.791666667	300.2212639
6.364795918	-4.791666667	300.2183413
6.441326531	-4.791666667	300.2151375
6.517857143	-4.791666667	300.2116524
6.594387755	-4.791666667	300.207886
6.670918367	-4.791666667	300.2038384
6.74744898	-4.791666667	300.1995095
6.823979592	-4.791666667	300.1948994
6.900510204	-4.791666667	300.1897117
6.977040816	-4.791666667	300.1885417
7.053571429	-4.791666667	300.1867128
7.130102041	-4.791666667	300.1842251
7.206632653	-4.791666667	300.1794272
7.283163265	-4.791666667	300.1741497
7.359693878	-4.791666667	300.1687763
7.43622449	-4.791666667	300.1633069
7.512755102	-4.791666667	300.1577417
7.589285714	-4.791666667	300.1520806
7.665816327	-4.791666667	300.1463236
7.742346939	-4.791666667	300.1404706
7.818877551	-4.791666667	300.1345218
7.895408163	-4.791666667	300.1284771
7.971938776	-4.791666667	300.1223364
8.048469388	-4.791666667	300.1160999
8.125	-4.791666667	300.1097675
8.201530612	-4.791666667	300.1033392
8.278061224	-4.791666667	300.0968149
