% surf1x	surf1y	T (K)
-4.454081633	0.037037037	316.9256213
-4.362244898	0.037037037	316.7987904
-4.270408163	0.037037037	316.6719594
-4.178571429	0.037037037	316.5451284
-4.086734694	0.037037037	316.4182975
-3.994897959	0.037037037	316.2914665
-3.903061224	0.037037037	316.1646355
-3.81122449	0.037037037	316.0378045
-3.719387755	0.037037037	315.9109736
-3.62755102	0.037037037	315.7841426
-3.535714286	0.037037037	315.6573482
-3.443877551	0.037037037	315.5481638
-3.352040816	0.037037037	315.4480626
-3.260204082	0.037037037	315.3479614
-3.168367347	0.037037037	315.2478602
-3.076530612	0.037037037	315.147759
-2.984693878	0.037037037	315.0476578
-2.892857143	0.037037037	314.9475566
-2.801020408	0.037037037	314.8474554
-2.709183673	0.037037037	314.7473543
-2.617346939	0.037037037	314.6472531
-2.525510204	0.037037037	314.5471519
-2.433673469	0.037037037	314.4470507
-2.341836735	0.037037037	314.3469495
-2.25	0.037037037	314.2497531
-2.158163265	0.037037037	314.183592
-2.066326531	0.037037037	314.1194605
-1.974489796	0.037037037	314.0553291
-1.882653061	0.037037037	313.9911976
-1.790816327	0.037037037	313.9270661
-1.698979592	0.037037037	313.8629347
-1.607142857	0.037037037	313.7988032
-1.515306122	0.037037037	313.7346718
-1.423469388	0.037037037	313.6705403
-1.331632653	0.037037037	313.6064088
-1.239795918	0.037037037	313.5422774
-1.147959184	0.037037037	313.4806798
-1.056122449	0.037037037	313.4516937
-0.964285714	0.037037037	313.4293269
-0.87244898	0.037037037	313.40696
-0.780612245	0.037037037	313.3845932
-0.68877551	0.037037037	313.3622264
-0.596938776	0.037037037	313.3398596
-0.505102041	0.037037037	313.3174928
-0.413265306	0.037037037	313.295126
-0.321428571	0.037037037	313.2727592
-0.229591837	0.037037037	313.2503924
-0.137755102	0.037037037	313.2280256
-0.045918367	0.037037037	313.2056588
-17.95408163	0.111111111	313.196442
-17.8622449	0.111111111	313.2160778
-17.77040816	0.111111111	313.2385807
-17.67857143	0.111111111	313.2610835
-17.58673469	0.111111111	313.2835863
-17.49489796	0.111111111	313.3060892
-17.40306122	0.111111111	313.328592
-17.31122449	0.111111111	313.3510949
-17.21938776	0.111111111	313.3735977
-17.12755102	0.111111111	313.3961006
-17.03571429	0.111111111	313.4186034
-16.94387755	0.111111111	313.4411063
-16.85204082	0.111111111	313.479269
-16.76020408	0.111111111	313.5312373
-16.66836735	0.111111111	313.5964017
-16.57653061	0.111111111	313.661566
-16.48469388	0.111111111	313.7267304
-16.39285714	0.111111111	313.7918948
-16.30102041	0.111111111	313.8570591
-16.20918367	0.111111111	313.9222235
-16.11734694	0.111111111	313.9873879
-16.0255102	0.111111111	314.0525522
-15.93367347	0.111111111	314.1177166
-15.84183673	0.111111111	314.182881
-15.75	0.111111111	314.24885
-15.65816327	0.111111111	314.3324809
-15.56632653	0.111111111	314.4273194
-15.4744898	0.111111111	314.5302074
-15.38265306	0.111111111	314.6330954
-15.29081633	0.111111111	314.7359833
-15.19897959	0.111111111	314.8388713
-15.10714286	0.111111111	314.9417592
-15.01530612	0.111111111	315.0446472
-14.92346939	0.111111111	315.1475351
-14.83163265	0.111111111	315.2504231
-14.73979592	0.111111111	315.353311
-14.64795918	0.111111111	315.456199
-14.55612245	0.111111111	315.5590869
-14.46428571	0.111111111	315.6619749
-14.37244898	0.111111111	315.7742229
-14.28061224	0.111111111	315.8961491
-14.18877551	0.111111111	316.0281799
-14.09693878	0.111111111	316.1602107
-14.00510204	0.111111111	316.2922414
-13.91326531	0.111111111	316.4242722
-13.82142857	0.111111111	316.556303
-13.72959184	0.111111111	316.6883337
-13.6377551	0.111111111	316.8203645
-13.54591837	0.111111111	316.9523953
-13.45408163	0.111111111	317.0844261
-13.3622449	0.111111111	317.2164568
-13.27040816	0.111111111	317.3484876
-13.17857143	0.111111111	317.4805184
-13.08673469	0.111111111	317.6125491
-12.99489796	0.111111111	317.7445799
-12.90306122	0.111111111	317.8766107
-12.81122449	0.111111111	318.0248623
-12.71938776	0.111111111	318.1720358
-12.62755102	0.111111111	318.3111395
-12.53571429	0.111111111	318.4502432
-12.44387755	0.111111111	318.5893468
-12.35204082	0.111111111	318.7284505
-12.26020408	0.111111111	318.8675542
-12.16836735	0.111111111	319.0066579
-12.07653061	0.111111111	319.1457615
-11.98469388	0.111111111	319.2848652
-11.89285714	0.111111111	319.4239689
-11.80102041	0.111111111	319.5630725
-11.70918367	0.111111111	319.7021762
-11.61734694	0.111111111	319.8412799
-11.5255102	0.111111111	319.9803836
-11.43367347	0.111111111	320.1194872
-11.34183673	0.111111111	320.2585909
-11.25	0.111111111	320.400516
-11.15816327	0.111111111	320.5548538
-11.06632653	0.111111111	320.6626088
-10.9744898	0.111111111	320.7560628
-10.88265306	0.111111111	320.8495167
-10.79081633	0.111111111	320.9429707
-10.69897959	0.111111111	321.0364247
-10.60714286	0.111111111	321.1298787
-10.51530612	0.111111111	321.2233326
-10.42346939	0.111111111	321.3167866
-10.33163265	0.111111111	321.4102406
-10.23979592	0.111111111	321.5036946
-10.14795918	0.111111111	321.5971485
-10.05612245	0.111111111	321.6906025
-9.964285714	0.111111111	321.7840565
-9.87244898	0.111111111	321.8775105
-9.780612245	0.111111111	321.9709644
-9.68877551	0.111111111	322.0608844
-9.596938776	0.111111111	322.1358152
-9.505102041	0.111111111	322.1444616
-9.413265306	0.111111111	322.1390066
-9.321428571	0.111111111	322.1335516
-9.229591837	0.111111111	322.1280967
-9.137755102	0.111111111	322.1226417
-9.045918367	0.111111111	322.1171868
-8.954081633	0.111111111	322.1117318
-8.862244898	0.111111111	322.1062768
-8.770408163	0.111111111	322.1008219
-8.678571429	0.111111111	322.0953669
-8.586734694	0.111111111	322.089912
-8.494897959	0.111111111	322.084457
-8.403061224	0.111111111	322.079002
-8.31122449	0.111111111	322.0735471
-8.219387755	0.111111111	322.0156971
-8.12755102	0.111111111	321.9311733
-8.035714286	0.111111111	321.8406689
-7.943877551	0.111111111	321.7501644
-7.852040816	0.111111111	321.65966
-7.760204082	0.111111111	321.5691555
-7.668367347	0.111111111	321.4786511
-7.576530612	0.111111111	321.3881466
-7.484693878	0.111111111	321.2976421
-7.392857143	0.111111111	321.2071377
-7.301020408	0.111111111	321.1166332
-7.209183673	0.111111111	321.0261288
-7.117346939	0.111111111	320.9073635
-7.025510204	0.111111111	320.775885
-6.933673469	0.111111111	320.6463342
-6.841836735	0.111111111	320.5167834
-6.75	0.111111111	320.3872326
-6.658163265	0.111111111	320.2576819
-6.566326531	0.111111111	320.1281311
-6.474489796	0.111111111	319.9985803
-6.382653061	0.111111111	319.8690295
-6.290816327	0.111111111	319.731193
-6.198979592	0.111111111	319.5841177
-6.107142857	0.111111111	319.4421156
-6.015306122	0.111111111	319.3001134
-5.923469388	0.111111111	319.1581112
-5.831632653	0.111111111	319.0161091
-5.739795918	0.111111111	318.8741069
-5.647959184	0.111111111	318.7321047
-5.556122449	0.111111111	318.5899023
-5.464285714	0.111111111	318.4420462
-5.37244898	0.111111111	318.3004864
-5.280612245	0.111111111	318.160272
-5.18877551	0.111111111	318.0200576
-5.096938776	0.111111111	317.8798432
-5.005102041	0.111111111	317.7396288
-4.913265306	0.111111111	317.5994144
